,x,y,z,label
135235,131269,0.810271999,2.400301376,Regular
325428,-58924,-1.291843114,0.187409138,Regular
435702,-169198,-0.053081729,1.290684615,Regular
490973,-224469,3.365578772,2.053245223,Regular
148457,118047,-1.342081438,0.512115696,Regular
287600,-21096,-2.506629034,-0.902788737,Regular
359383,-92879,-0.461438256,1.225232764,Regular
503740,-237236,1.12850468,2.668796567,Regular
524706,-258202,-1.422979522,0.34634866,Regular
430927,-164423,-0.831872977,-2.145215889,Regular
346115,-79611,-1.071740774,0.792541049,Regular
205152,61352,0.518028678,1.968885819,Regular
385911,-119407,0.856473218,-0.456414732,Regular
336924,-70420,-0.307043553,1.421503068,Regular
356821,-90317,0.496628857,-0.819237792,Regular
415160,-148656,-0.990466168,0.745961971,Regular
132436,134068,-0.756896863,0.919868515,Regular
249804,16700,-1.991767309,-0.766604537,Regular
220822,45682,-0.482939791,-1.803264829,Regular
219663,46841,0.996022175,-0.312463506,Regular
18913,247591,1.240421081,-0.080078519,Regular
460238,-193734,1.290190947,-0.015824879,Regular
310792,-44288,0.111040764,1.567931966,Regular
518249,-251745,-0.880291663,0.580475248,Regular
179430,87074,-0.12806058,-1.442607513,Regular
56395,210109,-1.862120844,-0.485777424,Regular
152820,113684,-0.73306364,0.984782208,Regular
169180,97324,-1.036057875,0.372800962,Regular
143244,123260,-0.496028259,0.117705327,Regular
236657,29847,0.038038888,-1.274785554,Regular
303609,-37105,-0.614633132,0.988334072,Regular
148992,117512,0.778632146,-0.539344829,Regular
242336,24168,-0.045439367,-1.365568229,Regular
310077,-43573,-0.342303928,0.346693638,Regular
191772,74732,-0.73494453,0.731344202,Regular
71426,195078,0.157632393,-1.152306416,Regular
101832,164672,-0.74966723,0.222832958,Regular
47584,218920,0.34851389,2.017109199,Regular
430736,-164232,-0.111809926,-1.424551208,Regular
205310,61194,0.10208141,-1.21450626,Regular
532597,-266093,-1.170300012,0.540594572,Regular
281859,-15355,2.707989123,1.39304513,Regular
209122,57382,-1.584822837,-0.088702549,Regular
502464,-235960,-1.388325283,-0.146733255,Regular
10802,255702,-1.522414681,-2.845520195,Regular
275628,-9124,1.423368899,2.814323467,Regular
318148,-51644,-1.376985211,0.537900864,Regular
292698,-26194,-1.302229725,-0.288703611,Regular
516750,-250246,-0.978584398,0.386069631,Regular
499734,-233230,-1.911706968,-0.678853914,Regular
336857,-70353,1.031820955,2.771113824,Regular
38425,228079,-1.617108937,-0.095745168,Regular
338449,-71945,-0.142936865,0.569698447,Regular
405504,-139000,-1.05748494,0.803558246,Regular
240156,26348,1.616731718,0.295968928,Regular
19007,247497,-1.800063903,-0.071095335,Regular
444127,-177623,1.181476285,-0.126381591,Regular
174196,92308,0.726846046,-0.58997289,Regular
360500,-93996,-0.198364986,1.268782856,Regular
356291,-89787,-1.281700428,0.243416668,Regular
498314,-231810,0.703363457,-0.602411978,Regular
309930,-43426,-1.471676324,0.598597519,Regular
483825,-217321,-0.771332176,0.476785207,Regular
213463,53041,-0.938324891,0.470678297,Regular
529105,-262601,1.995085137,0.690528461,Regular
142864,123640,0.293343416,-1.029659548,Regular
86286,180218,-0.420162898,1.149049774,Regular
136824,129680,0.77261955,-0.544057838,Regular
279182,-12678,1.709210889,0.393512274,Regular
403842,-137338,-1.004539803,0.463154828,Regular
464029,-197525,-0.695714503,0.005986066,Regular
202297,64207,0.136042105,-1.180682943,Regular
48908,217596,0.45739125,-0.866300134,Regular
17116,249388,-0.746669665,-0.033534253,Regular
314709,-48205,1.13803977,2.492456011,Regular
275139,-8635,0.813914174,-0.494482017,Regular
333039,-66535,0.976327838,-0.339449878,Regular
95383,171121,0.809915703,-0.509848602,Regular
148235,118269,-1.503891826,0.212724342,Regular
180703,85801,0.433543319,-0.879346553,Regular
265212,1292,0.652094644,-0.656977574,Regular
370921,-104417,-0.525699459,0.427962297,Regular
226842,39662,-1.031329277,0.770549167,Regular
383259,-116755,-0.678380256,0.830408065,Regular
203599,62905,0.445638656,-0.871185707,Regular
22437,244067,-1.158201841,0.72104642,Regular
60470,206034,-1.327941414,0.326385095,Regular
262790,3714,-1.186100232,0.763333438,Regular
164994,101510,0.531751838,-0.789546388,Regular
194435,72069,0.075859141,-1.240321378,Regular
332076,-65572,-0.317597332,1.572929848,Regular
109600,156904,-0.722820051,1.305151132,Regular
924,265580,1.228777412,-0.083460042,Regular
519417,-252913,0.877811634,-0.433879573,Regular
500955,-234451,-0.948274238,0.782713526,Regular
40888,225616,0.830871196,-0.487737309,Regular
330245,-63741,-0.947921079,-2.262700953,Regular
438850,-172346,0.880061672,-0.435652918,Regular
35828,230676,0.904875106,2.247069481,Regular
339594,-73090,-1.432981547,0.463014043,Regular
165633,100871,-0.73722794,0.909527527,Regular
203532,62972,0.10820729,-1.212904911,Regular
300295,-33791,0.586276764,-0.729721178,Regular
375366,-108862,0.390063689,-0.923571253,Regular
176301,90203,-0.030764904,-1.341016309,Regular
277931,-11427,0.733542358,-0.581910047,Regular
341913,-75409,1.969481939,0.662155497,Regular
276628,-10124,-1.178090703,0.532359064,Regular
312983,-46479,-0.521283434,0.952268323,Regular
98154,168350,-0.287998409,-1.605574903,Regular
457148,-190644,-0.028225018,-1.340993481,Regular
326453,-59949,0.932266803,-0.386657514,Regular
523797,-257293,-1.579609378,0.259374265,Regular
54171,212333,-0.073443763,1.515028706,Regular
521823,-255319,3.529233852,2.223628418,Regular
532910,-266406,2.634194686,1.322152385,Regular
84474,182030,-0.859001301,0.786019798,Regular
191387,75117,-0.71886055,0.887801478,Regular
473528,-207024,1.157060296,-0.14734117,Regular
373385,-106881,2.35914526,1.047213598,Regular
187458,79046,0.136383862,-1.184997002,Regular
391070,-124566,1.22349726,-0.082510263,Regular
413249,-146745,-0.542064774,1.061573669,Regular
38746,227758,-1.605338075,-0.159831097,Regular
355719,-89215,0.756038636,-0.559414124,Regular
150579,115925,-0.387605699,0.969246817,Regular
482413,-215909,0.444832958,2.010092951,Regular
106806,159698,-1.195848653,0.258602851,Regular
94224,172280,0.530076111,-0.787533372,Regular
270511,-4007,2.443515713,1.127940966,Regular
489925,-223421,0.406586533,-0.908977728,Regular
229059,37445,-0.647494267,0.956192393,Regular
371342,-104838,0.401412533,-0.914681842,Regular
505976,-239472,0.677563546,-0.626133922,Regular
434867,-168363,0.632230965,-0.68159847,Regular
373431,-106927,-0.388909187,-1.701067002,Regular
447003,-180499,0.328224128,-0.984717418,Regular
297446,-30942,-1.466497732,0.095382186,Regular
128164,138340,-2.691908402,-0.738076735,Regular
317929,-51425,1.563793093,0.249574441,Regular
434722,-168218,0.887417106,-0.424979352,Regular
235135,31369,-1.389128126,0.504337657,Regular
110053,156451,1.099422098,2.521620857,Regular
89500,177004,-1.600644394,-0.241254619,Regular
440496,-173992,-0.335293003,0.534964106,Regular
118329,148175,0.768351188,-0.540539691,Regular
362051,-95547,-0.161095153,-1.476313268,Regular
172069,94435,0.857078158,-0.453594638,Regular
127476,139028,-0.654607439,1.207132708,Regular
81905,184599,1.112786792,-0.208130549,Regular
238666,27838,-1.147185457,0.730486079,Regular
316528,-50024,-0.072281962,1.756497211,Regular
223790,42714,0.507245999,-0.802049392,Regular
303510,-37006,-0.439934393,1.013891416,Regular
42978,223526,0.193718363,-1.125394917,Regular
487337,-220833,1.095024141,-0.217382307,Regular
301043,-34539,0.160025511,1.810394597,Regular
380836,-114332,1.069500422,2.076631475,Regular
499040,-232536,1.243195183,2.280244632,Regular
83059,183445,0.340944635,-0.980782822,Regular
198297,68207,1.273799902,-0.047320986,Regular
203114,63390,-0.795806981,0.55788398,Regular
68200,198304,-0.491859719,0.146787916,Regular
319141,-52637,3.057474234,1.750198119,Regular
491152,-224648,-0.408411234,1.607906641,Regular
63468,203036,0.728085541,-0.590907363,Regular
489033,-222529,-0.155350999,-1.46949993,Regular
369951,-103447,0.351843913,-0.963837009,Regular
144932,121572,-0.077190992,-1.387150607,Regular
283182,-16678,0.26470776,-1.043634625,Regular
406439,-139935,1.04930926,-0.26439159,Regular
257027,9477,1.665075426,0.351408167,Regular
78201,188303,0.565478881,-0.75208142,Regular
503117,-236613,-1.576726692,0.085719847,Regular
528435,-261931,1.806171035,0.497608875,Regular
35773,230731,-0.928291246,0.727299342,Regular
395713,-129209,-0.904767508,0.913396494,Regular
107826,158678,-1.713336717,0.208341817,Regular
512868,-246364,-0.365165605,-1.676051909,Regular
378658,-112154,1.303017907,-0.015724582,Regular
382252,-115748,-0.9051902,0.545340243,Regular
386964,-120460,0.543772311,-0.761796951,Regular
496588,-230084,1.204755491,2.596280779,Regular
93304,173200,-1.429329271,0.235424244,Regular
376720,-110216,0.735268539,-0.578094964,Regular
411835,-145331,0.719732527,-0.594331868,Regular
258247,8257,0.293497812,1.528306061,Regular
506803,-240299,-0.110039337,-1.417515836,Regular
282738,-16234,-2.016911815,-0.361268786,Regular
486882,-220378,1.632575451,0.317321045,Regular
23118,243386,-0.576540363,-1.88847901,Regular
105705,160799,1.078764171,-0.239707946,Regular
249095,17409,0.644169126,-0.664144362,Regular
175449,91055,-1.003142823,0.022774619,Regular
248745,17759,-1.558274171,-0.291969664,Regular
382154,-115650,0.948566091,-0.365510557,Regular
313685,-47181,-1.273805108,0.052350635,Regular
4976,261528,1.507360248,0.193409541,Regular
270094,-3590,-0.223299679,-1.533038781,Regular
404958,-138454,-0.263329662,1.263002542,Regular
358546,-92042,0.898851325,-0.416767496,Regular
40229,226275,-1.014646086,0.469002872,Regular
482650,-216146,-0.633680992,1.174739584,Regular
90213,176291,-1.162314896,0.698058096,Regular
310092,-43588,1.093364782,-0.21431525,Regular
431462,-164958,-1.523752675,0.357031555,Regular
38914,227590,-0.117413635,-1.430395393,Regular
315981,-49477,0.500808787,-0.809010129,Regular
134185,132319,0.003318976,1.525491193,Regular
22967,243537,0.102988699,-1.221513914,Regular
169742,96762,0.228085298,-1.082016788,Regular
21088,245416,1.326875768,0.015428251,Regular
269976,-3472,-1.077048809,0.688013246,Regular
262873,3631,0.893805418,-0.414497939,Regular
424732,-158228,-0.005647586,1.935149741,Regular
433457,-166953,-0.793972739,0.916092352,Regular
58611,207893,0.867518841,-0.449391576,Regular
476326,-209822,-1.292335297,0.319428095,Regular
327224,-60720,0.624333676,2.049044281,Regular
2751,263753,0.377953824,-0.946315592,Regular
327143,-60639,0.691430921,-0.62749726,Regular
412454,-145950,-0.652557726,1.000665455,Regular
376341,-109837,0.994072668,-0.316472583,Regular
239030,27474,0.989340931,3.19085567,Regular
160435,106069,-1.705125599,0.042517736,Regular
462111,-195607,0.358679406,-0.952981265,Regular
197961,68543,-0.872339729,0.758278748,Regular
220577,45927,-1.638783048,-0.09521392,Regular
409407,-142903,1.084768675,-0.226929625,Regular
150599,115905,-1.514208002,0.146946225,Regular
474722,-208218,0.628908841,-0.676060667,Regular
453112,-186608,0.518507972,-0.793225254,Regular
422712,-156208,-1.422191369,-2.7259295,Regular
218769,47735,-1.085029388,0.631458797,Regular
462503,-195999,0.804272213,-0.507072121,Regular
522203,-255699,-1.460114289,-0.111932708,Regular
271172,-4668,-0.917560337,0.453936122,Regular
245523,20981,0.928843583,2.80255797,Regular
520584,-254080,1.929352868,0.612125988,Regular
86291,180213,-0.091782935,-1.410603268,Regular
392674,-126170,-1.789533684,0.028219635,Regular
43737,222767,-0.850374296,0.639716731,Regular
165144,101360,1.509939878,0.190264639,Regular
180429,86075,0.921187306,-0.396352557,Regular
314163,-47659,-0.756654966,0.121894642,Regular
490767,-224263,1.435555166,0.118468141,Regular
316671,-50167,-1.34134226,0.460445551,Regular
319354,-52850,-1.492935639,0.081677096,Regular
530560,-264056,-0.642459153,-1.956514837,Regular
354385,-87881,0.600931665,-0.713233754,Regular
383082,-116578,-0.859247542,0.034873196,Regular
174434,92070,0.238612375,2.073414274,Regular
195763,70741,3.457766357,4.315388091,Regular
352345,-85841,-1.29431707,0.511289295,Regular
44999,221505,-0.964267222,0.635610587,Regular
139719,126785,-1.331522766,-0.222081541,Regular
264669,1835,-0.886616134,-2.202334812,Regular
482321,-215817,-1.698194336,-0.816888218,Regular
460486,-193982,-0.751098652,-2.066388756,Regular
397610,-131106,-1.041257535,-0.049112804,Regular
406634,-140130,0.19780317,-1.105925643,Regular
51739,214765,-0.774330486,0.679231815,Regular
92285,174219,1.47596118,0.163748744,Regular
348851,-82347,-1.050585616,0.216219335,Regular
138792,127712,-1.511217319,0.116808347,Regular
458963,-192459,-0.599365265,0.366333184,Regular
223782,42722,0.947740974,-0.370214625,Regular
523811,-257307,1.079599319,-0.223687044,Regular
371064,-104560,-1.509992011,0.147728007,Regular
500812,-234308,-1.125085743,0.495409819,Regular
23624,242880,1.654409261,0.329346566,Regular
237698,28806,0.139088935,-1.175836996,Regular
259635,6869,-0.974432468,0.494224405,Regular
355869,-89365,0.06172166,1.535342686,Regular
290775,-24271,0.505517569,-0.814560855,Regular
164053,102451,0.489254691,2.234508331,Regular
353571,-87067,-0.638634944,0.399643696,Regular
501356,-234852,-0.09271482,-1.40871086,Regular
405297,-138793,-0.162875885,-1.477251032,Regular
120118,146386,0.071290488,-1.244255441,Regular
268,266236,1.872579691,0.553522037,Regular
353187,-86683,-1.148995503,0.22134341,Regular
503534,-237030,-0.178558942,1.095964843,Regular
343838,-77334,0.314342085,-0.993012999,Regular
262899,3605,0.391321458,-0.924888651,Regular
171173,95331,1.275040119,-0.034024686,Regular
120629,145875,0.230714529,-1.088915705,Regular
513846,-247342,-0.313959069,-1.625690781,Regular
48862,217642,0.362061595,-0.950105641,Regular
86035,180469,-0.67905309,-1.989410864,Regular
196276,70228,0.478626103,-0.829800325,Regular
97696,168808,1.070693545,-0.251757806,Regular
337718,-71214,0.318592032,-0.98994578,Regular
192827,73677,-1.65127859,-0.138549368,Regular
87481,179023,-1.424901394,0.024321277,Regular
496597,-230093,0.722368275,-0.591767948,Regular
75503,191001,0.284683918,0.739627438,Regular
391341,-124837,0.563437979,-0.751180692,Regular
48828,217676,0.453439787,-0.866906971,Regular
458466,-191962,0.635868081,-0.673949946,Regular
338404,-71900,-1.151057522,0.409854059,Regular
260911,5593,1.679816532,0.373294136,Regular
360150,-93646,-1.36514319,0.301161072,Regular
430566,-164062,-1.437539514,0.580975278,Regular
278300,-11796,-1.113197047,0.338030437,Regular
384770,-118266,-1.029690328,0.814328355,Regular
456239,-189735,1.092847477,-0.219109931,Regular
160638,105866,-0.950701124,0.541739484,Regular
53616,212888,0.6891667,-0.622773675,Regular
369849,-103345,1.039464801,-0.270632678,Regular
23177,243327,-0.953606427,0.582183341,Regular
225999,40505,-1.52282018,-0.223309553,Regular
494145,-227641,-0.396574282,-1.709074344,Regular
69856,196648,-0.962230736,0.493502392,Regular
127177,139327,1.207781851,-0.109718441,Regular
231095,35409,1.376122821,0.060180282,Regular
403894,-137390,0.663964443,-0.639028392,Regular
309961,-43457,-0.441559054,0.967355214,Regular
246904,19600,0.564768077,-0.751008449,Regular
180830,85674,-0.679575448,0.73242788,Regular
76728,189776,0.136154863,-1.182356508,Regular
212124,54380,0.238505713,1.110856418,Regular
144412,122092,-0.049633248,-1.365797151,Regular
272418,-5914,-1.725211283,0.093647938,Regular
72431,194073,-1.011943799,0.269188314,Regular
130228,136276,-1.080079174,0.712333453,Regular
354474,-87970,0.638730444,-0.675253509,Regular
223984,42520,-0.051684717,-1.366329017,Regular
200580,65924,-0.857658863,0.743761782,Regular
505722,-239218,-1.671940826,0.045121431,Regular
360016,-93512,-0.89998425,0.624520068,Regular
9981,256523,-0.530202203,0.82358995,Regular
375220,-108716,1.051482373,-0.262729676,Regular
157108,109396,-1.114803052,0.095152656,Regular
66367,200137,-1.604481178,0.146046059,Regular
421219,-154715,0.588226798,-0.719191017,Regular
41001,225503,0.298101341,-1.020123017,Regular
110267,156237,0.396799274,-0.922061375,Regular
417380,-150876,-1.7495804,-0.1395072,Regular
330130,-63626,-1.194264641,0.300083366,Regular
491941,-225437,0.558700908,-0.752851166,Regular
117591,148913,0.165248575,-1.152027208,Regular
3708,262796,1.872692774,3.131775225,Regular
309721,-43217,1.294364062,-0.023545222,Regular
44710,221794,0.493750203,-0.82409758,Regular
393677,-127173,-0.426122727,1.036792596,Regular
113882,152622,0.228170928,-1.082618909,Regular
438150,-171646,1.509195335,0.200740894,Regular
241918,24586,0.681904698,-0.631379051,Regular
299558,-33054,1.457530212,0.138276544,Regular
206702,59802,0.151413793,-1.159849998,Regular
431636,-165132,-0.289425319,-1.602624819,Regular
199378,67126,1.017447141,-0.292027144,Regular
415170,-148666,-0.097829145,1.626879363,Regular
102630,163874,0.065728539,1.529583857,Regular
344822,-78318,0.10211642,1.548208639,Regular
321034,-54530,0.44451076,2.042998013,Regular
466758,-200254,1.562022181,0.258714139,Regular
307486,-40982,-1.49814385,0.178108226,Regular
527178,-260674,0.321302766,2.241912197,Regular
415327,-148823,1.57810016,0.265614789,Regular
443074,-176570,-0.301448105,1.483430587,Regular
466141,-199637,0.64825729,-0.667446306,Regular
201872,64632,0.998757508,-0.32255663,Regular
403474,-136970,-0.843411665,0.817207059,Regular
194570,71934,-0.896675123,0.536762801,Regular
352058,-85554,0.177122651,-1.130472005,Regular
293583,-27079,-1.621323816,0.318217941,Regular
198977,67527,-0.850297925,0.574952313,Regular
214988,51516,1.227581821,2.639066351,Regular
273923,-7419,-0.074390724,-1.394859805,Regular
470238,-203734,-0.660679937,0.907256979,Regular
410017,-143513,-1.116914414,0.70216576,Regular
74284,192220,0.635742048,2.082662743,Regular
366551,-100047,-1.23657326,0.327349638,Regular
234169,32335,0.761377471,-0.548354432,Regular
57586,208918,-1.36107417,0.267104771,Regular
338792,-72288,1.14155069,-0.172851153,Regular
193793,72711,0.119520954,-1.189259988,Regular
468870,-202366,-0.125827034,-1.438035761,Regular
194789,71715,-1.957855532,-0.491683195,Regular
117187,149317,0.480364711,-0.833162117,Regular
129379,137125,-0.913378793,-0.172934906,Regular
233118,33386,-1.328736158,0.393126266,Regular
262876,3628,2.112631425,0.796965661,Regular
299591,-33087,0.219723184,-1.088234322,Regular
14179,252325,1.744462468,0.432243258,Regular
395266,-128762,-1.94571009,0.128276967,Regular
140154,126350,0.701452807,-0.610297711,Regular
248557,17947,-0.242293585,-1.551466963,Regular
434079,-167575,0.966417206,-0.347030148,Regular
59622,206882,0.357351668,-0.957746556,Regular
202680,63824,-0.269329506,-1.585284737,Regular
315037,-48533,-0.875208894,-0.00286174,Regular
344549,-78045,0.121533337,-1.192471679,Regular
292525,-26021,0.40761279,-0.908567989,Regular
381360,-114856,-0.6451941,-1.950646054,Regular
303143,-36639,0.687999714,-0.61986259,Regular
104749,161755,-1.036486028,0.57426815,Regular
281630,-15126,1.225556119,-0.092342906,Regular
470343,-203839,-0.283889842,1.484240042,Regular
467897,-201393,2.055786708,0.743264868,Regular
52475,214029,0.773397883,-0.54310628,Regular
223815,42689,-0.418749198,1.274347462,Regular
501740,-235236,-1.204282952,0.523003895,Regular
339998,-73494,0.892178475,-0.426602456,Regular
504704,-238200,-1.050662294,0.391327734,Regular
17279,249225,0.231997559,1.894760241,Regular
523719,-257215,-1.282860802,0.450820211,Regular
98244,168260,-0.094563647,1.340063032,Regular
49786,216718,0.451942039,-0.86711946,Regular
242873,23631,-1.153203285,0.353557807,Regular
510403,-243899,-1.214041703,0.450353416,Regular
204287,62217,0.057811841,1.77301766,Regular
374690,-108186,0.025675843,-1.283376564,Regular
485254,-218750,-0.233127554,-1.537073681,Regular
351767,-85263,-1.318970851,0.086921679,Regular
166981,99523,0.692259352,-0.619182979,Regular
101885,164619,-1.88358481,-0.363991071,Regular
335996,-69492,-1.09927094,0.864551753,Regular
101771,164733,-1.676537237,0.14967417,Regular
37748,228756,-0.525834339,0.366227371,Regular
285817,-19313,0.759831855,-0.548936818,Regular
301828,-35324,0.368649058,-0.938340605,Regular
514387,-247883,0.982793354,-0.329737883,Regular
62738,203766,-0.67164463,1.24873636,Regular
432737,-166233,-0.282557348,1.20460492,Regular
194746,71758,-0.595112472,0.971507509,Regular
362582,-96078,1.121363832,-0.19233972,Regular
306236,-39732,0.853381622,-0.458810844,Regular
190718,75786,-1.353779393,-2.672966042,Regular
81924,184580,-0.059481403,1.406221333,Regular
419686,-153182,0.069644609,-1.247652192,Regular
306986,-40482,0.274613316,-1.040244339,Regular
131162,135342,-0.986856199,-0.101514,Regular
443191,-176687,-0.222984204,0.59380745,Regular
442944,-176440,1.092776282,-0.223494749,Regular
396646,-130142,0.302958408,-1.010065795,Regular
350323,-83819,-0.125260088,1.140638592,Regular
113643,152861,-0.879080673,0.479999729,Regular
201002,65502,1.586866718,0.274169296,Regular
310677,-44173,-0.601047649,-1.912314417,Regular
515667,-249163,0.448844382,-0.862199954,Regular
22765,243739,0.879569478,-0.439822752,Regular
76323,190181,1.663679572,0.345118952,Regular
169858,96646,1.213588067,2.965845293,Regular
373913,-107409,0.198256931,1.540824576,Regular
186451,80053,-0.721597536,-2.035166833,Regular
77676,188828,-1.042873687,0.511599525,Regular
132798,133706,-0.645197971,-1.962278296,Regular
328896,-62392,-0.212786078,-1.519697617,Regular
170426,96078,-0.810692834,0.622981416,Regular
436389,-169885,-0.164660604,1.253398482,Regular
154480,112024,-1.208311669,0.191624551,Regular
150943,115561,-0.076928566,-1.394618915,Regular
125308,141196,0.696524077,-0.621915256,Regular
379278,-112774,-1.83361913,-0.048952771,Regular
170476,96028,-0.765376559,0.635324346,Regular
282589,-16085,0.60370883,-0.704804125,Regular
6223,260281,-0.848240999,0.085404045,Regular
27844,238660,-0.589516923,1.029306769,Regular
67490,199014,0.766951645,-0.552522963,Regular
17441,249063,-0.751273442,1.175086724,Regular
190057,76447,2.103902469,0.784791662,Regular
6570,259934,2.159908195,0.835602538,Regular
117196,149308,0.170762262,-1.150521795,Regular
396506,-130002,-1.39696291,0.159718797,Regular
425605,-159101,1.303523295,-0.009386826,Regular
411069,-144565,0.278725182,-1.034387225,Regular
4434,262070,0.099359764,-1.221334817,Regular
397128,-130624,-0.521679781,0.94804836,Regular
201971,64533,-0.508072647,-1.817369222,Regular
116386,150118,-0.041039437,-1.350361313,Regular
526072,-259568,0.943545147,-0.363564234,Regular
472104,-205600,1.277256204,-0.028275801,Regular
313583,-47079,0.212273734,-1.094944311,Regular
146093,120411,-1.57494614,0.179030725,Regular
5055,261449,0.308435159,-1.0049981,Regular
5561,260943,0.160243564,1.80061362,Regular
380666,-114162,-0.968337301,0.492848279,Regular
111472,155032,-0.07007122,-1.38648368,Regular
165766,100738,0.784073154,-0.529311597,Regular
189862,76642,1.054122329,-0.255181182,Regular
154808,111696,0.785633671,-0.533794929,Regular
365870,-99366,-0.810444547,0.864904339,Regular
80424,186080,-0.669021883,0.794820527,Regular
166639,99865,0.74372282,-0.564256821,Regular
225322,41182,-0.286792738,0.947953368,Regular
520034,-253530,1.143645536,-0.168935069,Regular
198807,67697,-0.990086392,0.565766859,Regular
278386,-11882,-0.71664072,0.61382764,Regular
140426,126078,-1.272299,-2.585671905,Regular
318569,-52065,-1.419015858,0.166200729,Regular
323921,-57417,1.81206817,0.503657828,Regular
452361,-185857,0.486967739,-0.824508421,Regular
283517,-17013,0.8347671,-0.473491672,Regular
87838,178666,-0.201405043,-1.514288135,Regular
463945,-197441,1.284275366,-0.027215583,Regular
404785,-138281,-1.06788451,-0.305261322,Regular
187197,79307,-1.526936114,0.289840822,Regular
125488,141016,0.714298123,1.656266954,Regular
142722,123782,-0.458796687,1.063016065,Regular
56701,209803,2.474180402,1.154617964,Regular
431111,-164607,-0.828031645,1.06709222,Regular
44866,221638,0.508635886,1.86957694,Regular
9549,256955,0.262493509,-1.058250105,Regular
242942,23562,-0.927590377,0.548449703,Regular
296304,-29800,0.095431386,-1.215098562,Regular
33250,233254,-1.582503414,0.261906383,Regular
38722,227782,0.889460544,-0.426099196,Regular
181546,84958,2.304722673,0.987833318,Regular
258138,8366,-0.995270361,0.455684631,Regular
404509,-138005,-0.586009723,1.341004837,Regular
527758,-261254,-0.948869945,0.332058223,Regular
57377,209127,0.562039484,2.024840624,Regular
527420,-260916,-0.788944893,0.628141949,Regular
329785,-63281,0.507844799,-0.802398833,Regular
298953,-32449,1.334670364,0.020319988,Regular
399229,-132725,2.556992138,1.242185319,Regular
269249,-2745,0.758211962,-0.554408934,Regular
415193,-148689,1.021923302,2.516849908,Regular
109350,157154,-0.215856241,1.047478148,Regular
264579,1925,1.213563131,-0.106352363,Regular
398762,-132258,-0.934412766,0.579184519,Regular
